Title,Location,Price,Description,Url,Latitude,Longitude
NcStar sporting rifle scope,"Arden, NC",25.0,"NcStar sporting scope 3-9 x 40; In original box , never been mounted Call or text (828)Seven seven eight-6153",https://asheville.craigslist.org/spo/d/ncstar-sporting-rifle-scope/6503333531.html,35.4637,-82.5354
"Greenlee knockout punch set # 735/735BB 1/2"" thru 1 1/4""","Arden, NC",70.0,"Greenlee # 735/735BB knockout punch set; 1/2"", 3/4"", 1"" & 1 1/4""; 1 1/4"" and 1"" have never been used other two are in very good condition Call or text (828)Seven seven eight-6153",https://asheville.craigslist.org/tls/d/greenlee-knockout-punch-setbb/6504806986.html,35.4637,-82.5354
#60 roller chain 34 1/2 feet,"Arden, NC",60.0,"6 ft. piece of Morse chain; (2) 5 ft. pieces of Morse chain; 5 ft. piece of China import chain; 3 1/2 ft. piece of China import chain; 10 ft. piece of Yugoslavian chain (Yugoslavian chain has some minor rust but is still usable, not frozen up) $60 for all the chain Selling as one lot. Call or text (828)Seven seven eight-6153",https://asheville.craigslist.org/for/d/60-roller-chainfeet/6506483808.html,35.4637,-82.5354
Porter Cable pneumatic finish nailer FN250C,"Arden, NC",100.0,Porter Cable pneumatic finish nailer Model FN250C; New in original box with canvas carrying case $100 firm Call or text (828)Seven seven eight-6153,https://asheville.craigslist.org/tls/d/porter-cable-pneumatic-finish/6497329747.html,35.4637,-82.5354
"Stihl 044 Chainsaw Runs/Cuts Great 24"" Bar","Franklin, NC",375.0,"Hello, up for sale is this used Stihl 044 chainsaw that is overall in V.G. Condition. Saw runs/cuts great, no issues, good compression. Bar oiler and chain brake work well. The 044 has a 71 cc (4.3 CI) size engine, rated up to 32"" bar. This 044 currently has a 24"" bar, likely made by Oregon, bar made in Canada. Chain in V.G. shape, plenty of life left. Sprocket is new, see photos. Took photo of cylinder with muffler off, piston is clean, no scoring. Flywheel & cylinder have no busted fins. The plastic top cover is a recent replacement. Overall, a good Stihl 044 chainsaw, ready for work. Saw in Franklin, NC. Price $375",https://asheville.craigslist.org/tls/d/stihl-044-chainsaw-runs-cuts/6512418801.html,35.169879,-83.329754
"Durbin Durco spring chain load binder (3/8"" to 1/2"" chain)","Arden, NC",30.0,Spring loaded chain load binder (heavy duty) Durbin Durco USA made Call or text (828)Seven seven eight-6153,https://asheville.craigslist.org/tls/d/durbin-durco-spring-chain/6479367550.html,35.4637,-82.5354
Biltwell motorcycle helmet,"Asheville, NC",50.0,"Biltwell motorcycle helmet Red helmet with white racing stripe Has removable bubble face shield Size M, for male or female Some slight wear and tear, but overall good condition. Asking $50 OBO... paid $130 new & only wore it 4-5 times. Text or email please",https://asheville.craigslist.org/mpo/d/biltwell-motorcycle-helmet/6492613620.html,35.5393,-82.518
Visual Departure Ltd. Steady bag (steadybag),"Arden, NC",20.0,"Visual Departure steady bag 17"" x 11"" Weighs just under 7 lbs. (little dusty & dirty) Steadybag allows fast, rock-solid shooting on any surface, eliminating time-consuming tripod setup. It conforms to any uneven surface bringing a new freedom to location still and video photography. Steadybag is filled with custom-milled polypropylene beads in an outer casing made of rugged waterproof expedition-grade nylon, and it comes with a padded shoulder strap. Call (828)Seven seven eight-6153",https://asheville.craigslist.org/pho/d/visual-departure-ltd-steady/6497330279.html,35.4637,-82.5354
"25 ft. x 1 1/2"" polypropylene rope","Arden, NC",30.0,25 ft. polypropylene rope; Loop to loop; Actual rope length is 30 ft. with double cable clamps on each end $30 More than one available. Call (828)778-six one five three,https://asheville.craigslist.org/for/d/25-ftpolypropylene-rope/6497334266.html,35.4637,-82.5354
#40 stainless steel roller chain,"Arden, NC",30.0,"10 feet of Diamond brand #40 double roller chain $100: 6 feet of Link Belt brand SS # 40 roller chain $30: 6'4"" of Tsubaki brand SS # 40 roller chain $30 All of the chain is in very good condition (not worn out) Call or text (828)Seven seven eight-6153 s",https://asheville.craigslist.org/for/d/40-stainless-steel-roller/6506395553.html,35.4637,-82.5354
